trial_id,condition,seed,success,killed,ttf,distance,initial_euclidean,pte,tortuosity,upwind_fidelity,satiety_auc,escapes_count
419,DELTA_LC4,40060,0,1,9,39.39,47.36,1.0,1.5228,0.9374,0.5449,0
420,DELTA_LC4,40061,0,1,10,57.23,50.92,0.8898,1.0484,0.9704,0.5454,0
421,DELTA_LC4,40062,0,1,65,199.66,47.73,0.239,6.3008,0.6071,0.5486,0
422,DELTA_LC4,40063,0,1,10,38.72,43.4,1.0,1.1106,0.9876,0.5454,0
423,DELTA_LC4,40064,0,1,9,49.27,46.43,0.9424,1.0048,0.9267,0.5449,0
424,DELTA_LC4,40065,0,1,9,42.83,46.74,1.0,1.2213,0.949,0.5449,0
425,DELTA_LC4,40066,1,0,26,42.56,43.19,1.0,1.0099,0.9898,0.5497,0
426,DELTA_LC4,40067,0,1,70,156.37,45.91,0.2936,4.2316,0.4853,0.5486,0
427,DELTA_LC4,40068,0,1,10,53.6,46.08,0.8598,1.0265,0.932,0.5454,0
428,DELTA_LC4,40069,0,1,15,47.92,48.51,1.0,1.5735,0.9411,0.5467,0
429,DELTA_LC4,40070,0,1,9,27.27,49.44,1.0,1.2497,0.9931,0.5449,0
430,DELTA_LC4,40071,0,1,9,47.65,44.27,0.9291,1.0101,0.9722,0.5449,0
431,DELTA_LC4,40072,0,1,10,42.96,45.09,1.0,1.812,0.9938,0.5454,0
432,DELTA_LC4,40073,0,1,9,42.51,45.6,1.0,1.0035,0.996,0.5449,0
433,DELTA_LC4,40074,0,1,10,38.92,50.4,1.0,1.027,0.9793,0.5454,0
434,DELTA_LC4,40075,0,1,10,29.56,47.89,1.0,1.0831,0.9505,0.5454,0
435,DELTA_LC4,40076,0,1,10,43.05,46.37,1.0,1.7127,0.9958,0.5454,0
436,DELTA_LC4,40077,0,1,9,51.28,48.54,0.9466,1.0044,0.9758,0.5449,0
437,DELTA_LC4,40078,0,1,9,53.37,44.1,0.8262,1.0429,0.9287,0.5449,0
438,DELTA_LC4,40079,0,1,10,24.2,50.83,1.0,3.4071,0.995,0.5454,0
439,DELTA_LC4,40080,0,1,9,41.12,49.36,1.0,1.0127,0.9488,0.5449,0
440,DELTA_LC4,40081,0,1,9,35.39,45.93,1.0,1.2647,0.9904,0.5449,0
441,DELTA_LC4,40082,0,1,10,52.37,50.2,0.9584,1.5689,0.9651,0.5454,0
442,DELTA_LC4,40083,0,1,9,41.25,48.08,1.0,1.1074,0.9356,0.5449,0
443,DELTA_LC4,40084,0,1,67,168.49,46.67,0.277,9.039,0.6033,0.5486,0
444,DELTA_LC4,40085,0,1,66,182.17,49.92,0.274,17.296,0.5747,0.5486,0
445,DELTA_LC4,40086,0,1,9,41.23,43.7,1.0,1.0675,0.9863,0.5449,0
446,DELTA_LC4,40087,0,1,72,171.02,46.4,0.2713,5.803,0.6162,0.5486,0
447,DELTA_LC4,40088,0,1,10,28.7,50.44,1.0,1.1829,0.9981,0.5454,0
448,DELTA_LC4,40089,1,0,29,48.16,47.89,0.9943,1.0082,0.9887,0.5497,0
449,DELTA_LC4,40090,0,1,114,257.87,47.23,0.1832,6.6606,-0.0342,0.5484,0
450,DELTA_LC4,40091,0,1,65,193.2,44.92,0.2325,5.8997,0.6015,0.5486,0
451,DELTA_LC4,40092,0,1,50,138.82,44.51,0.3207,5.8107,0.6242,0.5485,0
452,DELTA_LC4,40093,0,1,8,20.46,46.51,1.0,1.065,0.9289,0.5444,0
453,DELTA_LC4,40094,0,1,10,53.95,45.5,0.8434,1.0659,0.9481,0.5454,0
454,DELTA_LC4,40095,0,1,15,52.37,45.61,0.8709,2.3904,0.9905,0.5467,0
455,DELTA_LC4,40096,0,1,10,29.14,47.72,1.0,1.1123,0.9335,0.5454,0
456,DELTA_LC4,40097,0,1,10,31.44,49.15,1.0,1.034,0.9478,0.5454,0
457,DELTA_LC4,40098,0,1,9,40.84,44.4,1.0,1.5046,0.9916,0.5449,0
458,DELTA_LC4,40099,0,1,66,162.3,47.15,0.2905,5.0571,0.5273,0.5486,0
459,DELTA_LC4,40100,0,1,233,477.84,51.44,0.1077,34.5491,0.1747,0.5473,0
460,DELTA_LC4,40101,0,1,10,41.5,46.14,1.0,1.0393,0.9376,0.5454,0
