step,sim_time,pos_x,pos_y,heading,speed,reward,punishment,hs_rate,drum_vel,saccade_shunt,time_step,fly_x,fly_y,fly_heading,fly_speed,state,satiety,food_collected,hazard_encounters,predator_kills,escapes,paradigm
65,1.3,45.146530713478384,45.0,1.3496990287408436e-22,0.1263472935676991,0.0,0.0,76.0,30.0,0.0,65,45.146530713478384,45.0,1.3496990287408436e-22,0.1263472935676991,WANDER,0.55,0,0,0,0,optomotor
66,1.32,45.14911037940618,45.0,1.3536666837167572e-22,0.12898329638984127,0.0,0.0,76.0,30.0,0.0,66,45.14911037940618,45.0,1.3536666837167572e-22,0.12898329638984127,WANDER,0.55,0,0,0,0,optomotor
67,1.34,45.151764408545546,45.0,1.3574530104868624e-22,0.13270145696837662,0.0,0.0,76.0,30.0,0.0,67,45.151764408545546,45.0,1.3574530104868624e-22,0.13270145696837662,WANDER,0.55,0,0,0,0,optomotor
68,1.36,45.15449636905578,45.0,1.3610666221409354e-22,0.13659802551150688,0.0,0.0,76.0,30.0,0.0,68,45.15449636905578,45.0,1.3610666221409354e-22,0.13659802551150688,WANDER,0.55,0,0,0,0,optomotor
69,1.3800000000000001,45.157291946596,45.0,1.3645157226469877e-22,0.13977887701082578,0.0,0.0,76.0,30.0,0.0,69,45.157291946596,45.0,1.3645157226469877e-22,0.13977887701082578,WANDER,0.55,0,0,0,0,optomotor
70,1.4000000000000001,45.16012071947713,45.0,1.36780812628455e-22,0.1414386440566314,0.0,0.0,76.0,30.0,0.0,70,45.16012071947713,45.0,1.36780812628455e-22,0.1414386440566314,WANDER,0.55,0,0,0,0,optomotor
71,1.42,45.162939358111274,45.0,1.370951276154876e-22,0.140931931707182,0.0,0.0,76.0,30.0,0.0,71,45.162939358111274,45.0,1.370951276154876e-22,0.140931931707182,WANDER,0.55,0,0,0,0,optomotor
72,1.44,45.165695962459786,45.0,1.3817644229675128e-22,0.1378302174257002,0.0,0.0,76.0,30.0,0.0,72,45.165695962459786,45.0,1.3817644229675128e-22,0.1378302174257002,WANDER,0.55,0,0,0,0,optomotor
73,1.46,45.16833514895169,45.0,1.3920719040281219e-22,0.13195932459536633,0.0,0.0,76.0,30.0,0.0,73,45.16833514895169,45.0,1.3920719040281219e-22,0.13195932459536633,WANDER,0.55,0,0,0,0,optomotor
74,1.48,45.17090771309935,45.0,1.4018977384599245e-22,0.12862820738312764,0.0,0.0,76.0,30.0,0.0,74,45.17090771309935,45.0,1.4018977384599245e-22,0.12862820738312764,WANDER,0.55,0,0,0,0,optomotor
