step,sim_time,pos_x,pos_y,heading,speed,reward,punishment,is_lights_on,beam_crossed,is_sleeping,time_step,fly_x,fly_y,fly_heading,fly_speed,state,satiety,food_collected,hazard_encounters,predator_kills,escapes,paradigm
95,1.9000000000000001,15.228381925430535,5.0,1.620579189357448e-22,0.13092513910218537,0.0,0.0,1.0,0.0,1.0,95,15.228381925430535,5.0,1.620579189357448e-22,0.13092513910218537,WANDER,0.55,0,0,0,0,circadian_dam
96,1.92,15.23099432085947,5.0,1.6301540353478602e-22,0.13061977144671214,0.0,0.0,1.0,0.0,1.0,96,15.23099432085947,5.0,1.6301540353478602e-22,0.13061977144671214,WANDER,0.55,0,0,0,0,circadian_dam
97,1.94,15.233644109003047,5.0,1.6392831326299996e-22,0.1324894071788307,0.0,0.0,1.0,0.0,1.0,97,15.233644109003047,5.0,1.6392831326299996e-22,0.1324894071788307,WANDER,0.55,0,0,0,0,circadian_dam
98,1.96,15.236358918840542,5.0,1.6505917079860442e-22,0.13574049187478696,0.0,0.0,1.0,0.0,1.0,98,15.236358918840542,5.0,1.6505917079860442e-22,0.13574049187478696,WANDER,0.55,0,0,0,0,circadian_dam
99,1.98,15.239148590458987,5.0,1.658768403209089e-22,0.1394835809222088,0.0,0.0,1.0,0.0,1.0,99,15.239148590458987,5.0,1.658768403209089e-22,0.1394835809222088,WANDER,0.55,0,0,0,0,circadian_dam
100,2.0,15.242004829240772,5.0,1.6665657618853111e-22,0.14281193908922218,0.0,0.0,1.0,0.0,1.0,100,15.242004829240772,5.0,1.6665657618853111e-22,0.14281193908922218,WANDER,0.55,0,0,0,0,circadian_dam
101,2.02,15.24490246423472,5.0,1.6740018025006848e-22,0.1448817496973644,0.0,0.0,1.0,0.0,1.0,101,15.24490246423472,5.0,1.6740018025006848e-22,0.1448817496973644,WANDER,0.55,0,0,0,0,circadian_dam
102,2.04,15.247802198805744,5.0,1.6784896339445657e-22,0.14498672855117603,0.0,0.0,1.0,0.0,1.0,102,15.247802198805744,5.0,1.6784896339445657e-22,0.14498672855117603,WANDER,0.55,0,0,0,0,circadian_dam
103,2.06,15.250654607611956,5.0,1.6775649679953902e-22,0.14262044031061966,0.0,0.0,1.0,0.0,1.0,103,15.250654607611956,5.0,1.6775649679953902e-22,0.14262044031061966,WANDER,0.55,0,0,0,0,circadian_dam
104,2.08,15.253405021998883,5.0,1.6792965105575824e-22,0.13752071934636106,0.0,0.0,1.0,0.0,1.0,104,15.253405021998883,5.0,1.6792965105575824e-22,0.13752071934636106,WANDER,0.55,0,0,0,0,circadian_dam
